,train,train_label,val,val_label,test,test_label
0,BRACS_280,6,BRACS_265,2,BRACS_264,1
1,BRACS_281,6,BRACS_735,5,BRACS_286,6
2,BRACS_283,6,BRACS_736,5,BRACS_292,6
3,BRACS_288,6,BRACS_737,5,BRACS_300,3
4,BRACS_291,6,BRACS_738,6,BRACS_301,6
5,BRACS_295,6,BRACS_739,6,BRACS_305,6
6,BRACS_297,6,BRACS_740,6,BRACS_310,6
7,BRACS_298,6,BRACS_1261,0,BRACS_1228,4
8,BRACS_311,6,BRACS_1271,4,BRACS_1283,5
9,BRACS_734,6,BRACS_1275,1,BRACS_1284,6
10,BRACS_743,3,BRACS_1276,1,BRACS_1286,6
11,BRACS_745,1,BRACS_1295,2,BRACS_1330,1
12,BRACS_747,6,BRACS_1296,0,BRACS_1334,2
13,BRACS_748,6,BRACS_1361,6,BRACS_1411,6
14,BRACS_749,6,BRACS_1362,6,BRACS_1412,1
15,BRACS_750,6,BRACS_1366,5,BRACS_1413,6
16,BRACS_752,6,BRACS_1367,5,BRACS_1414,6
17,BRACS_753,6,BRACS_1368,6,BRACS_1416,2
18,BRACS_754,6,BRACS_1392,6,BRACS_1473,5
19,BRACS_755,5,BRACS_1393,6,BRACS_1474,5
20,BRACS_756,6,BRACS_1394,6,BRACS_1476,5
21,BRACS_757,6,BRACS_1395,6,BRACS_1503,4
22,BRACS_758,1,BRACS_1423,1,BRACS_1578,6
23,BRACS_759,6,BRACS_1424,1,BRACS_1579,0
24,BRACS_760,1,BRACS_1584,0,BRACS_1580,6
25,BRACS_761,1,BRACS_1585,0,BRACS_1587,6
26,BRACS_762,5,BRACS_1591,2,BRACS_1588,5
27,BRACS_773,6,BRACS_1592,2,BRACS_1589,4
28,BRACS_1231,6,BRACS_1595,2,BRACS_1590,6
29,BRACS_1232,6,BRACS_1607,5,BRACS_1597,5
30,BRACS_1233,6,BRACS_1608,1,BRACS_1598,0
31,BRACS_1235,6,BRACS_1609,2,BRACS_1599,0
32,BRACS_1238,5,BRACS_1610,3,BRACS_1601,0
33,BRACS_1239,3,BRACS_1614,0,BRACS_1602,5
34,BRACS_1240,1,BRACS_1632,0,BRACS_1619,2
35,BRACS_1241,1,BRACS_1797,4,BRACS_1813,3
36,BRACS_1242,1,BRACS_1798,6,BRACS_1814,3
37,BRACS_1244,2,BRACS_1799,3,BRACS_1817,6
38,BRACS_1247,5,BRACS_1876,4,BRACS_1820,0
39,BRACS_1248,1,BRACS_1883,5,BRACS_1821,2
40,BRACS_1249,1,BRACS_1885,4,BRACS_1823,6
41,BRACS_1250,3,BRACS_1886,3,BRACS_1824,2
42,BRACS_1251,1,BRACS_1935,5,BRACS_1825,4
43,BRACS_1253,1,BRACS_1953,4,BRACS_1826,6
44,BRACS_1255,1,BRACS_1974,0,BRACS_1842,1
45,BRACS_1257,3,BRACS_1975,3,BRACS_1843,1
46,BRACS_1259,1,BRACS_1977,4,BRACS_1844,4
47,BRACS_1263,6,BRACS_1978,0,BRACS_1845,1
48,BRACS_1265,6,BRACS_1979,0,BRACS_1846,1
49,BRACS_1267,0,BRACS_1980,1,BRACS_1847,1
50,BRACS_1269,0,BRACS_1981,0,BRACS_1848,2
51,BRACS_1270,2,BRACS_1982,4,BRACS_1849,4
52,BRACS_1272,6,BRACS_1983,4,BRACS_1850,1
53,BRACS_1273,1,BRACS_3266,3,BRACS_1851,1
54,BRACS_1274,1,BRACS_3284,2,BRACS_1852,1
55,BRACS_1277,6,BRACS_3285,3,BRACS_1853,2
56,BRACS_1279,6,BRACS_3295,1,BRACS_1855,0
57,BRACS_1287,6,BRACS_3296,1,BRACS_1856,4
58,BRACS_1288,6,BRACS_3298,1,BRACS_1867,5
59,BRACS_1289,6,BRACS_3300,1,BRACS_1870,1
60,BRACS_1292,6,BRACS_3301,6,BRACS_1872,5
61,BRACS_1293,6,BRACS_3302,5,BRACS_1878,5
62,BRACS_1318,1,BRACS_3337,1,BRACS_1892,4
63,BRACS_1319,3,BRACS_1003660,2,BRACS_1895,4
64,BRACS_1320,1,BRACS_1003661,2,BRACS_1896,2
65,BRACS_1321,1,,,BRACS_1897,5
66,BRACS_1322,1,,,BRACS_1906,1
67,BRACS_1324,1,,,BRACS_1908,6
68,BRACS_1325,1,,,BRACS_1910,6
69,BRACS_1326,2,,,BRACS_1936,3
70,BRACS_1327,1,,,BRACS_1937,3
71,BRACS_1329,1,,,BRACS_1938,4
72,BRACS_1335,2,,,BRACS_1940,1
73,BRACS_1336,1,,,BRACS_1941,3
74,BRACS_1337,2,,,BRACS_1942,1
75,BRACS_1338,1,,,BRACS_1943,3
76,BRACS_1356,6,,,BRACS_1944,3
77,BRACS_1357,6,,,BRACS_1945,5
78,BRACS_1358,6,,,BRACS_1952,2
79,BRACS_1360,6,,,BRACS_1954,3
80,BRACS_1369,5,,,BRACS_1955,3
81,BRACS_1370,1,,,BRACS_2007,3
82,BRACS_1374,6,,,BRACS_3322,0
83,BRACS_1378,0,,,BRACS_3323,6
84,BRACS_1379,4,,,BRACS_3324,1
85,BRACS_1385,0,,,BRACS_1003691,4
86,BRACS_1386,0,,,BRACS_1003694,4
87,BRACS_1401,0,,,,
88,BRACS_1403,0,,,,
89,BRACS_1404,0,,,,
90,BRACS_1405,0,,,,
91,BRACS_1406,6,,,,
92,BRACS_1407,6,,,,
93,BRACS_1408,1,,,,
94,BRACS_1409,2,,,,
95,BRACS_1477,6,,,,
96,BRACS_1478,6,,,,
97,BRACS_1480,1,,,,
98,BRACS_1483,1,,,,
99,BRACS_1484,6,,,,
100,BRACS_1485,1,,,,
101,BRACS_1486,4,,,,
102,BRACS_1487,6,,,,
103,BRACS_1489,5,,,,
104,BRACS_1490,5,,,,
105,BRACS_1491,5,,,,
106,BRACS_1492,5,,,,
107,BRACS_1493,1,,,,
108,BRACS_1494,4,,,,
109,BRACS_1495,2,,,,
110,BRACS_1496,5,,,,
111,BRACS_1497,5,,,,
112,BRACS_1498,2,,,,
113,BRACS_1499,4,,,,
114,BRACS_1506,3,,,,
115,BRACS_1507,0,,,,
116,BRACS_1508,1,,,,
117,BRACS_1509,5,,,,
118,BRACS_1510,3,,,,
119,BRACS_1511,1,,,,
120,BRACS_1512,5,,,,
121,BRACS_1513,0,,,,
122,BRACS_1514,5,,,,
123,BRACS_1515,5,,,,
124,BRACS_1516,6,,,,
125,BRACS_1581,2,,,,
126,BRACS_1582,1,,,,
127,BRACS_1583,1,,,,
128,BRACS_1593,1,,,,
129,BRACS_1594,2,,,,
130,BRACS_1596,2,,,,
131,BRACS_1603,1,,,,
132,BRACS_1604,2,,,,
133,BRACS_1605,1,,,,
134,BRACS_1606,2,,,,
135,BRACS_1612,1,,,,
136,BRACS_1616,4,,,,
137,BRACS_1617,2,,,,
138,BRACS_1618,2,,,,
139,BRACS_1620,1,,,,
140,BRACS_1621,2,,,,
141,BRACS_1622,4,,,,
142,BRACS_1631,1,,,,
143,BRACS_1633,1,,,,
144,BRACS_1634,1,,,,
145,BRACS_1635,6,,,,
146,BRACS_1636,6,,,,
147,BRACS_1637,6,,,,
148,BRACS_1638,6,,,,
149,BRACS_1639,6,,,,
150,BRACS_1640,1,,,,
151,BRACS_1641,0,,,,
152,BRACS_1642,2,,,,
153,BRACS_1643,6,,,,
154,BRACS_1645,0,,,,
155,BRACS_1646,6,,,,
156,BRACS_1647,6,,,,
157,BRACS_1648,6,,,,
158,BRACS_1649,6,,,,
159,BRACS_1650,6,,,,
160,BRACS_1652,6,,,,
161,BRACS_1653,5,,,,
162,BRACS_1654,6,,,,
163,BRACS_1655,1,,,,
164,BRACS_1656,1,,,,
165,BRACS_1658,0,,,,
166,BRACS_1659,1,,,,
167,BRACS_1660,1,,,,
168,BRACS_1661,1,,,,
169,BRACS_1664,1,,,,
170,BRACS_1665,1,,,,
171,BRACS_1666,1,,,,
172,BRACS_1667,2,,,,
173,BRACS_1668,1,,,,
174,BRACS_1669,1,,,,
175,BRACS_1771,5,,,,
176,BRACS_1772,1,,,,
177,BRACS_1773,3,,,,
178,BRACS_1774,3,,,,
179,BRACS_1775,3,,,,
180,BRACS_1777,3,,,,
181,BRACS_1778,3,,,,
182,BRACS_1779,1,,,,
183,BRACS_1780,2,,,,
184,BRACS_1782,2,,,,
185,BRACS_1783,2,,,,
186,BRACS_1784,1,,,,
187,BRACS_1785,2,,,,
188,BRACS_1786,2,,,,
189,BRACS_1787,2,,,,
190,BRACS_1788,3,,,,
191,BRACS_1789,2,,,,
192,BRACS_1791,2,,,,
193,BRACS_1792,2,,,,
194,BRACS_1793,2,,,,
195,BRACS_1794,4,,,,
196,BRACS_1795,4,,,,
197,BRACS_1796,1,,,,
198,BRACS_1808,4,,,,
199,BRACS_1810,6,,,,
200,BRACS_1811,5,,,,
201,BRACS_1812,6,,,,
202,BRACS_1815,3,,,,
203,BRACS_1816,5,,,,
204,BRACS_1827,6,,,,
205,BRACS_1828,6,,,,
206,BRACS_1829,6,,,,
207,BRACS_1830,6,,,,
208,BRACS_1831,6,,,,
209,BRACS_1832,1,,,,
210,BRACS_1833,1,,,,
211,BRACS_1834,2,,,,
212,BRACS_1835,5,,,,
213,BRACS_1836,2,,,,
214,BRACS_1837,2,,,,
215,BRACS_1838,3,,,,
216,BRACS_1839,1,,,,
217,BRACS_1840,5,,,,
218,BRACS_1841,1,,,,
219,BRACS_1857,3,,,,
220,BRACS_1858,3,,,,
221,BRACS_1860,4,,,,
222,BRACS_1861,4,,,,
223,BRACS_1862,5,,,,
224,BRACS_1863,4,,,,
225,BRACS_1864,5,,,,
226,BRACS_1865,3,,,,
227,BRACS_1866,1,,,,
228,BRACS_1869,1,,,,
229,BRACS_1871,3,,,,
230,BRACS_1873,2,,,,
231,BRACS_1874,5,,,,
232,BRACS_1875,6,,,,
233,BRACS_1877,4,,,,
234,BRACS_1879,1,,,,
235,BRACS_1880,1,,,,
236,BRACS_1881,2,,,,
237,BRACS_1882,4,,,,
238,BRACS_1888,5,,,,
239,BRACS_1890,1,,,,
240,BRACS_1893,1,,,,
241,BRACS_1899,4,,,,
242,BRACS_1900,1,,,,
243,BRACS_1901,1,,,,
244,BRACS_1902,1,,,,
245,BRACS_1903,5,,,,
246,BRACS_1904,1,,,,
247,BRACS_1905,1,,,,
248,BRACS_1911,4,,,,
249,BRACS_1912,4,,,,
250,BRACS_1913,4,,,,
251,BRACS_1914,2,,,,
252,BRACS_1915,4,,,,
253,BRACS_1916,3,,,,
254,BRACS_1917,2,,,,
255,BRACS_1918,2,,,,
256,BRACS_1919,5,,,,
257,BRACS_1920,5,,,,
258,BRACS_1921,5,,,,
259,BRACS_1922,4,,,,
260,BRACS_1923,5,,,,
261,BRACS_1924,1,,,,
262,BRACS_1925,4,,,,
263,BRACS_1926,3,,,,
264,BRACS_1927,5,,,,
265,BRACS_1928,5,,,,
266,BRACS_1929,5,,,,
267,BRACS_1930,5,,,,
268,BRACS_1931,5,,,,
269,BRACS_1932,4,,,,
270,BRACS_1933,4,,,,
271,BRACS_1934,4,,,,
272,BRACS_1946,2,,,,
273,BRACS_1947,5,,,,
274,BRACS_1948,1,,,,
275,BRACS_1949,2,,,,
276,BRACS_1950,5,,,,
277,BRACS_1957,2,,,,
278,BRACS_1958,2,,,,
279,BRACS_1959,2,,,,
280,BRACS_1960,1,,,,
281,BRACS_1961,1,,,,
282,BRACS_1962,1,,,,
283,BRACS_1963,2,,,,
284,BRACS_1964,1,,,,
285,BRACS_1965,1,,,,
286,BRACS_1966,1,,,,
287,BRACS_1967,1,,,,
288,BRACS_1968,3,,,,
289,BRACS_1969,4,,,,
290,BRACS_1970,5,,,,
291,BRACS_1971,3,,,,
292,BRACS_1972,1,,,,
293,BRACS_1973,0,,,,
294,BRACS_1984,6,,,,
295,BRACS_1986,1,,,,
296,BRACS_1987,4,,,,
297,BRACS_1988,1,,,,
298,BRACS_1989,1,,,,
299,BRACS_1993,2,,,,
300,BRACS_1994,1,,,,
301,BRACS_1995,2,,,,
302,BRACS_1996,2,,,,
303,BRACS_1997,2,,,,
304,BRACS_1998,0,,,,
305,BRACS_1999,5,,,,
306,BRACS_2000,1,,,,
307,BRACS_2001,2,,,,
308,BRACS_2002,1,,,,
309,BRACS_2004,1,,,,
310,BRACS_2005,2,,,,
311,BRACS_3268,1,,,,
312,BRACS_3269,1,,,,
313,BRACS_3270,1,,,,
314,BRACS_3271,1,,,,
315,BRACS_3272,1,,,,
316,BRACS_3273,2,,,,
317,BRACS_3274,1,,,,
318,BRACS_3275,0,,,,
319,BRACS_3276,1,,,,
320,BRACS_3277,0,,,,
321,BRACS_3278,2,,,,
322,BRACS_3279,1,,,,
323,BRACS_3281,1,,,,
324,BRACS_3282,0,,,,
325,BRACS_3283,1,,,,
326,BRACS_3289,6,,,,
327,BRACS_3290,6,,,,
328,BRACS_3291,6,,,,
329,BRACS_3292,0,,,,
330,BRACS_3293,6,,,,
331,BRACS_3294,6,,,,
332,BRACS_3305,6,,,,
333,BRACS_3308,6,,,,
334,BRACS_3309,1,,,,
335,BRACS_3310,2,,,,
336,BRACS_3311,1,,,,
337,BRACS_3312,1,,,,
338,BRACS_3313,2,,,,
339,BRACS_3314,6,,,,
340,BRACS_3315,6,,,,
341,BRACS_3316,6,,,,
342,BRACS_3317,2,,,,
343,BRACS_3318,4,,,,
344,BRACS_3319,6,,,,
345,BRACS_3320,6,,,,
346,BRACS_3321,6,,,,
347,BRACS_3334,1,,,,
348,BRACS_3335,1,,,,
349,BRACS_3336,1,,,,
350,BRACS_1003658,1,,,,
351,BRACS_1003659,1,,,,
352,BRACS_1003667,6,,,,
353,BRACS_1003668,1,,,,
354,BRACS_1003669,1,,,,
355,BRACS_1003670,6,,,,
356,BRACS_1003671,1,,,,
357,BRACS_1003672,1,,,,
358,BRACS_1003673,6,,,,
359,BRACS_1003675,0,,,,
360,BRACS_1003677,6,,,,
361,BRACS_1003678,6,,,,
362,BRACS_1003684,6,,,,
363,BRACS_1003685,2,,,,
364,BRACS_1003686,1,,,,
365,BRACS_1003692,6,,,,
366,BRACS_1003693,3,,,,
367,BRACS_1003697,5,,,,
368,BRACS_1003698,6,,,,
369,BRACS_1003699,6,,,,
370,BRACS_1003700,1,,,,
371,BRACS_1003703,6,,,,
372,BRACS_1003705,2,,,,
373,BRACS_1003706,1,,,,
374,BRACS_1003707,2,,,,
375,BRACS_1003708,6,,,,
376,BRACS_1003709,6,,,,
377,BRACS_1003710,1,,,,
378,BRACS_1003713,0,,,,
379,BRACS_1003714,0,,,,
380,BRACS_1003715,0,,,,
381,BRACS_1003716,0,,,,
382,BRACS_1003717,0,,,,
383,BRACS_1003718,0,,,,
384,BRACS_1003721,6,,,,
385,BRACS_1003722,6,,,,
386,BRACS_1003723,6,,,,
387,BRACS_1003724,1,,,,
388,BRACS_1003725,1,,,,
389,BRACS_1003727,6,,,,
390,BRACS_1003728,4,,,,
391,BRACS_1003730,1,,,,
392,BRACS_1003731,6,,,,
393,BRACS_1003732,6,,,,
394,BRACS_1003734,1,,,,
